Contractyearmonth,Layer,surfacearea,Residentialarea,Dedicatedarea2,time,km2,fee,bus,subm,culture,sports
201901,16,24925,15417.22,59,43,15,1350,6,517,6,0
201906,1,28839,17698.23,85,54,19,1450,4,1613,4,4
201904,24,297868,156037.197,85,49,18,1450,2,1075,3,2
201901,2,10652,7110.66,58,46,17,1450,4,345,3,2
201904,6,32458,18157.96,81,45,16,1450,3,384,3,2
201904,4,43625,23553.04,85,61,18,1450,3,376,3,7
201905,10,23653,14009.655,85,61,22,1550,10,130,8,7
201902,9,108314,67005.42,85,61,30,1550,0,363,0,1
201906,22,53666,36844.86,135,61,22,1550,5,681,6,3
201904,5,82790,52549.56,115,61,29,1550,3,410,1,1
201904,9,48906,30647.91,85,61,29,1550,2,900,1,2
201910,4,37639,27756.69,84,61,24,1550,3,606,2,5
201901,13,52166,41970.54,85,61,23,1550,6,708,0,3
201901,2,82532,46324.58,85,61,30,1550,5,725,3,6
201902,10,60598,32481.25,50,61,29,1550,0,546,1,1
201903,4,130109,77743.514,60,61,22,1550,12,1009,2,1
201911,9,19627,12291.8118,85,61,17,1450,2,261,2,4
201905,13,52499,35220.96,50,61,25,1450,1,532,3,4
201906,5,30188,18054.9354,60,61,18,1450,7,464,3,4
201910,1,31045,18923.61,85,61,19,1400,5,1319,1,4
201905,9,34627,20809.79,60,61,29,1550,2,732,6,4
201907,1,20255,15247.23,85,61,27,1550,4,1550,2,2
201903,15,55504,40914,35,61,19,1450,9,172,3,8
201905,18,15403,8782.02,85,61,24,1550,4,294,4,6
201907,14,33287,14934,59,61,24,1550,5,521,4,1
201907,7,23262,12255.5975,96,61,21,1450,1,481,1,3
201906,14,37147,19952.1064,111,61,26,1550,0,188,6,12
201904,8,62753,46918.2,46,61,26,1550,4,156,2,11
201902,13,62927,47591.82,41,61,20,1450,3,220,5,13
201904,2,56832,39974.86,41,61,26,1550,7,678,3,7
201902,12,46684,32676.6,36,61,26,1550,4,479,7,14
201901,7,104150,73708.2,36,61,20,1450,3,362,3,11
201902,4,28020,16614.5934,78,61,26,1550,7,1432,1,11
201906,21,43813,26817.64,60,47,11,1350,4,721,4,4
201901,14,152477,93101.28,85,53,13,1300,3,1048,4,3
201905,21,106252,56432.31,60,43,12,1200,7,294,6,2
201902,6,92901,52476.75,85,50,12,1200,2,427,4,0
201906,10,66509,40940.663,85,61,14,1350,1,764,5,0
201906,15,88938886,47733.504,85,61,14,1350,2,914,3,6
201901,13,255681,146615.32,54,54,12,1200,2,998,4,8
201902,25,75865,28570.34,119,50,12,1300,7,1229,4,6
201906,12,42649,14734.64,85,47,13,1200,2,591,6,6
201901,2,47941,43511.4,95,52,15,1200,6,1348,1,2
201908,10,128425,63491.05,85,54,12,1350,0,1082,4,2
201901,13,232844,156543,114,52,12,1350,5,1194,5,2
201904,14,139069,107518.8,44,54,13,1350,0,1503,4,2
201907,10,62745,33008.82,60,61,14,1350,6,682,1,0
201901,14,33352,19716.628,85,57,13,1200,1,1331,1,2
201907,5,51869,29953.84,60,53,13,1200,1,1260,1,2
201910,4,47908,24608.38,85,59,23,1350,5,704,0,0
201901,17,240236,149877.5,60,44,10,1250,5,516,5,4
201911,18,27271,16939.58,85,45,13,1350,7,281,1,8
201906,2,115589,59856.36,85,29,6,1200,3,899,0,1
201908,7,34886,19985.68,57,39,9,1200,3,355,3,9
201908,4,80008,40543.38,116,39,9,1200,7,183,2,8
201909,9,41808,25532.62,84,39,9,1200,0,314,1,8
201908,5,23192,12549,85,35,9,1200,14,80,3,9
201903,4,76425,57908.48,60,41,10,1250,7,831,1,2
201905,14,64450,38308.12,85,37,8,1250,0,618,2,2
201901,4,75491,38380.3692,85,35,8,1250,4,593,1,3
201901,7,280217,155288.68,60,39,11,1350,3,369,1,1
201905,8,31703,16468.135,85,41,11,1350,10,416,4,2
201911,14,21098,13984.55,60,37,10,1250,2,388,1,3
201907,30,76593,37102.42,164,36,13,1350,7,974,2,14
201909,7,57603,35840.76,85,41,13,1350,6,745,2,8
201904,5,91430,67289.1,125,28,7,1200,6,284,1,2
201905,8,26940,16641.86,60,37,10,1250,2,714,8,4
201905,1,112884,54329.68,60,31,7,1200,8,316,1,2
201901,10,152758,71714.84,85,32,7,1200,2,658,1,3
201907,5,18353,14232.83,52,32,7,1200,3,493,8,6
201907,11,85747,46060.85,119,46,12,1200,6,187,10,7
201908,5,18939,10379.42,83,46,11,1200,4,415,9,7
201901,24,11418,4704,76,49,16,1350,6,260,1,0
201903,13,76201,34443.54,60,54,14,1350,7,274,8,1
201904,7,115173,59606.31,60,45,22,2300,2,1339,3,0
201910,6,53911,27728.09,85,52,22,2300,3,1551,1,0
201905,6,71714,38606.78,60,42,20,2300,4,748,7,7
201904,4,74717,45841.2,85,45,20,2300,5,920,7,7
201902,12,123555,67620.31,85,40,20,2300,0,548,11,4
201906,14,68193,39070.24,85,38,21,2300,6,912,5,1
201904,8,87962,47364.06,104,43,21,2300,1,1006,5,3
201907,13,114990,65367.24,85,46,21,2300,3,1275,5,1
201910,4,143811,72421.53,85,48,21,2300,3,1599,1,0
201903,20,161664,79353.254,123,48,22,1450,7,208,8,0
201904,11,96162,70691.534,60,61,25,1450,3,645,2,7
201901,26,18207,8696.92,29,40,11,1200,15,127,13,11
201904,7,40490,22409.54,60,40,10,1200,12,501,18,9
201905,8,22218,13592,85,50,13,1200,11,231,10,4
201906,15,43991,26557.81,85,53,13,1200,3,415,8,8
201906,23,70173,44020.28,60,54,13,1350,4,375,1,2
201904,14,105206,58250.114,85,47,12,1200,6,423,6,6
201905,7,82438,46238.46,85,51,12,1200,2,438,7,6
201904,20,90429,44905.51,85,53,12,1200,2,486,6,5
201906,1,31108,16960.24,59,61,25,1450,2,330,1,4
201908,8,62203,38916.75,115,61,25,1450,2,693,2,6
201908,5,24120,18335.08,85,59,14,1200,10,338,14,3
201908,12,78095,46988.41,85,59,14,1200,11,449,13,3
201909,3,61664,36325.46,60,51,13,1350,17,1015,4,6
201904,4,76631,35124.81,115,61,17,1400,2,833,1,1
201904,3,80849797,39732.513,85,61,17,1200,2,462,1,1
201902,24,575494,271661.76,85,61,17,1200,2,625,1,1
201907,8,57803,26666.85,85,61,17,1400,3,811,2,0
201903,4,81997,56969.64,85,61,17,1200,4,869,2,0
201905,9,38157,20574.31,85,61,17,1200,3,272,1,9
201901,2,5817,2565.952,14,53,14,1200,2,792,5,1
201902,13,117343,80064.18,85,48,13,1200,8,477,15,7
201904,19,20416,10871.28,45,42,11,1300,8,136,25,8
201902,7,30146,17226,59,57,14,1200,1,554,3,4
201903,13,90620,57471.93,60,57,14,1200,3,620,1,5
201903,5,56189,32648.58,84,51,14,1200,0,431,2,3
201905,6,100004,76611.98,85,52,16,1350,1,254,1,2
201905,7,232130,113848.87,85,34,8,900,0,893,1,0
201904,9,540103,279425.58,136,26,4,900,2,338,5,5
201903,10,180700164,92869.532,138,17,2,1200,6,177,3,5
201901,12,814368,405926.358,195,19,3,1200,1,179,4,7
201901,7,32930,18354.09,85,22,4,900,2,136,6,5
201907,10,21910,13431.48,60,16,2,900,1,709,5,0
201906,1,62786,40474.24,60,27,6,1200,4,466,0,4
201912,1,19876,15462.02,85,23,5,1250,5,476,0,5
201904,2,85111,76743.12,185,31,6,900,8,514,3,7
201905,14,52754,30197.802,149,24,5,1200,5,468,3,2
201905,10,59735,44492.28,80,20,6,1250,3,248,1,4
201906,4,27738,16126.62,85,19,4,1250,6,129,0,6
201910,2,38311,25998.4164,121,29,6,1250,4,844,3,3
201905,7,29483,13588.9,50,11,1,1250,8,101,4,2
201902,14,36407,20329.37,45,16,3,900,6,78,11,1
201903,19,175496,98785.4,133,16,3,900,4,601,9,5
201907,11,46330,25476.64,158,26,5,1250,7,947,8,1
201909,14,17900,8543.82,34,11,1,900,4,321,5,2
201906,19,218689,119018.09,128,11,1,900,2,705,6,5
201906,5,57726,32190.03,122,15,1,900,2,519,5,2
201906,10,68993,26369.5332,144,14,3,2650,4,430,12,1
201907,11,40044,19386.62,46,17,3,2650,7,321,11,0
201907,2,49153,24307.21,85,18,2,900,2,356,9,1
201905,9,38077,23639.68,60,20,3,1250,4,438,3,1
201905,10,17317,13208.78,85,16,1,900,2,590,6,2
201910,14,14610,6910.2544,34,13,1,900,9,770,14,1
201905,30,226180,118181.34,165,22,3,900,5,223,10,1
201905,8,76114,37219.4,84,28,8,900,4,917,1,0
201906,7,88338,43252.24,84,36,8,900,2,471,1,0
201905,17,176525,90865.52,115,30,5,900,5,900,2,4
201910,3,33127,15383,60,30,5,900,4,1605,0,3
201905,9,148779,81337.69,75,33,6,900,6,1535,2,3
201906,8,40630,26047.1,60,25,3,1200,2,298,1,10
201910,1,48239,37803,85,27,3,1200,3,695,6,12
201905,5,87175,46922.42,115,27,3,1200,9,639,2,22
201910,2,27320,14384.53,117,44,10,1200,6,235,5,10
201906,2,71038,31542.63,60,44,11,1250,8,317,4,10
201905,17,138528,66318.48,85,38,8,1200,7,502,2,10
201908,9,40050,26692.78,60,37,8,1200,13,481,3,10
201907,12,59586,28535.2676,60,37,8,1200,0,488,4,10
201906,3,129858,71398.35,60,37,9,1250,3,602,1,6
201907,2,41384,20757.45,76,34,9,1200,5,724,7,6
201905,4,75886,69936.63,149,37,9,1250,4,352,10,0
201901,12,30399,23428.335,85,47,18,1250,0,378,6,7
201903,13,106826,80285.7,71,43,10,1250,3,552,6,4
201904,23,99374,47508.13,92,40,16,1250,3,379,7,27
201903,7,46620,35458.55,60,35,9,1200,14,388,7,22
201903,7,155243,91018.04,60,59,16,1200,5,439,2,0
201904,7,29669,15826.88,112,59,16,1200,5,477,3,2
201911,14,30016,15382.27,85,55,18,1350,8,491,3,3
201908,12,20963,13436.6397,85,59,17,1350,7,411,3,3
201901,2,57043,31979.87,60,58,17,1350,4,492,3,1
201906,6,75794,42905.55,85,58,17,1350,5,513,3,1
201901,2,280646,159726.42,84,61,19,1450,7,591,2,1
201907,5,38940,29122.42,85,53,16,1350,5,178,2,0
201904,8,81104,41787.56,85,58,18,1450,5,262,2,2
201906,14,129694,70992.57,85,61,15,1200,0,390,4,1
201902,6,148630,77438.66,60,52,13,1300,12,715,3,3
201901,1,96816,49702.02,85,61,17,1400,2,837,4,5
201906,19,184473,61598.83,134,53,14,1300,5,564,4,1
201901,17,208108,112626.1,60,53,14,1300,8,680,4,5
201901,12,119106,66007.71,85,57,15,1350,2,322,9,1
201905,15,42977,29993.54,54,57,15,1350,4,429,1,7
201904,12,78121,48410.32,50,42,12,1350,4,243,2,5
201903,4,43711,27346.75,40,43,12,1350,2,430,2,4
201905,11,61834,38307.11,60,44,12,1350,0,479,2,4
201905,3,105770,57032.74,85,53,14,1350,2,711,0,2
201906,3,116107,60280.11,84,52,14,1350,0,536,0,2
201905,8,381065,211278.78,121,46,11,1350,2,756,0,1
201901,1,81117,50581.44,26,46,11,1350,2,816,1,4
201906,5,53498,31208.09,85,36,9,1250,2,287,3,0
201905,13,117966,54704.09,65,36,9,1250,1,716,2,0
201905,2,76553,67216.68,64,35,10,1250,2,714,1,0
201905,14,243461,69171.24,148,20,7,1250,4,158,10,2
201907,3,34950,23856.36,42,27,8,1250,1,370,11,4
201901,10,265792,109302.774,123,28,8,1250,3,690,9,6
201901,6,935380,470139.94,85,24,6,1250,3,234,8,6
201905,4,58786,30048.26,60,42,12,1350,1,360,0,0
201907,6,43662,25187.5,85,46,13,1350,6,628,0,0
201911,13,30646,16719.63,85,40,12,1350,1,331,0,0
201908,7,31808,18773.18,85,40,12,1350,4,1079,1,4
201909,12,43249,22522.79,85,46,13,1350,4,737,0,0
201904,3,91404,53093.74,85,48,12,1350,2,806,0,0
201910,4,23655,13479.87,85,45,12,1350,6,461,0,0
201905,11,57373,30770.04,85,42,12,1350,3,368,0,0
201903,14,72224,42285.52,85,45,12,1350,6,544,0,0
201904,9,68286,35108.58,85,42,12,1350,2,412,0,0
201906,16,72535,34503.12,60,39,12,1350,7,196,0,0
201906,3,81605,38576.72,60,39,12,1350,3,231,0,0
201904,7,26573,15540.94,126,35,10,1250,4,197,3,8
201905,4,78151,47483.48,59,50,17,1450,0,615,4,6
201907,3,24523,16137.39,85,61,24,1450,3,390,5,6
201907,3,22553,12519.94,85,61,24,1450,5,1173,5,6
201911,15,96516,48147.01,162,54,21,1450,4,867,6,13
201902,3,16336,13128.5,85,61,26,1550,0,1666,0,2
201904,12,22236,14488.94,85,61,22,1550,0,588,1,1
201910,2,28844,17366.79,60,61,19,1200,2,816,2,2
201901,3,22424,12114.51,77,61,24,1550,4,1190,1,4
201909,6,16977,13109.72,85,53,19,1450,2,330,5,16
201906,18,53073,29064,60,42,18,1350,5,387,3,3
201902,18,33622,19680.32,85,48,14,1350,3,650,3,3
201904,14,21716,7942.56,29,36,14,1350,11,127,3,6
201906,1,23246,13780.06,38,42,17,1350,5,674,6,13
201902,26,137005,68416.544,85,45,17,1450,5,805,6,9
201906,7,157024,92300.23,85,44,18,1450,3,347,5,10
201906,21,24444,15217,60,45,18,1450,3,557,4,16
201905,16,73157,57010.79,60,42,13,1350,3,612,2,11
201911,11,27724,17039.43,85,39,14,1350,7,505,2,11
201906,20,124284,63934.03,137,44,11,1250,5,440,2,2
201905,23,114226,59758.04,120,35,11,1350,5,247,2,4
201904,6,203904,92651.53,149,38,11,1350,4,244,2,5
201903,19,307282238,186887.603,60,45,17,1450,5,470,4,4
201907,9,104018,57056.25,115,45,17,1450,11,599,4,5
201910,10,38913,19452.83,109,41,10,1200,4,279,24,7
201905,15,193955,107575.09,169,39,12,1250,4,384,7,10
201906,4,68371,39044.72,135,43,12,1250,3,600,6,12
201906,13,57480,38782.74,60,45,14,1350,2,951,8,3
201906,4,37771,19950.578,133,39,9,1200,2,268,15,5
201906,5,148969,40423.73,123,39,9,1200,3,188,11,2
201901,10,211772,112633.948,233,29,5,1200,1,746,27,0
201902,11,44414,21651.61,32,24,5,1200,7,574,26,0
201903,11,56723,31933.876,129,30,6,1200,1,479,23,0
201907,14,46942,24238.53,59,37,10,1200,13,357,20,10
201902,5,16910,14228.28,63,46,10,1200,3,422,22,7
201901,8,37171,28144.603,85,61,19,1400,6,962,2,1
201904,9,33179,16389.03,116,61,25,1550,2,707,2,1
201907,8,39557,22894.949,60,56,18,1450,1,213,6,5
201901,16,36960,19788.99,115,61,23,1550,6,835,3,6
201908,6,95385,54503.469,60,61,19,1450,5,491,4,2
201905,9,73111,35322.89,60,61,19,1450,5,369,4,2
201909,13,20138,14098.14,84,61,20,1400,5,703,1,1
201902,7,20062,10592.28,60,61,19,1400,1,287,2,0
201904,18,28789,18529.08,58,61,23,1550,0,1024,0,0
201901,1,66632,33965.97,114,61,19,1400,6,982,2,0
201911,7,57855,27393.83,85,61,18,1400,4,832,7,4
201905,4,163510,83606.28,84,61,23,1550,4,1034,1,4
201902,1,163636,68113.24,85,61,22,1550,7,880,2,4
201905,6,122530,61715.17,115,61,23,1550,8,987,2,10
201905,17,38416,21679.35,85,47,13,1350,5,138,16,8
201905,11,63836,32968.72,60,47,11,1250,9,159,7,6
201907,13,45692,22574.0708,60,46,12,1200,2,356,8,5
201904,8,22847,13245.16,49,45,14,1350,1,421,69,0
201904,9,83068,44882.36,85,41,9,1200,4,514,6,11
201907,9,55193,28079.999,109,40,9,1200,5,326,8,4
201912,22,74075,38196.84,140,40,10,1200,3,317,40,3
201906,21,32693,17409.12,60,43,12,1200,2,652,3,11
201902,2,50897,37356,85,50,15,1450,3,563,2,2
201908,5,19822,14768.82,85,51,13,1350,0,585,3,8
201905,5,43455,30457.98,59,52,13,1350,1,613,2,2
201907,15,190866,93848.93,85,61,18,1450,6,733,1,2
201907,35,265792,109303,123,28,8,1250,3,690,9,6
201909,41,265792,109303,164,28,8,1250,3,690,9,6
201910,22,265792,109303,152,28,8,1250,3,690,9,6
201911,20,265792,109303,176,28,8,1250,3,690,9,6
201912,2,265792,109303,176,28,8,1250,3,690,9,6
201901,6,935380,470140,85,24,6,1250,3,234,8,6
201902,5,935380,470140,85,24,6,1250,3,234,8,6
201902,21,935380,470140,60,24,6,1250,3,234,8,6
201902,2,935380,470140,60,24,6,1250,3,234,8,6
201903,6,935380,470140,60,24,6,1250,3,234,8,6
201903,18,935380,470140,85,24,6,1250,3,234,8,6
201903,24,935380,470140,85,24,6,1250,3,234,8,6
201903,8,935380,470140,60,24,6,1250,3,234,8,6
201903,9,935380,470140,85,24,6,1250,3,234,8,6
201903,12,935380,470140,85,24,6,1250,3,234,8,6
201903,19,935380,470140,85,24,6,1250,3,234,8,6
201904,18,935380,470140,60,24,6,1250,3,234,8,6
201904,17,935380,470140,85,24,6,1250,3,234,8,6
201905,9,935380,470140,60,24,6,1250,3,234,8,6
201905,7,935380,470140,85,24,6,1250,3,234,8,6
201905,6,935380,470140,85,24,6,1250,3,234,8,6
201905,3,935380,470140,60,24,6,1250,3,234,8,6
201905,8,935380,470140,85,24,6,1250,3,234,8,6
201905,12,935380,470140,60,24,6,1250,3,234,8,6
201905,13,935380,470140,85,24,6,1250,3,234,8,6
201905,22,935380,470140,85,24,6,1250,3,234,8,6
201905,26,935380,470140,85,24,6,1250,3,234,8,6
201905,16,935380,470140,60,24,6,1250,3,234,8,6
201905,3,935380,470140,85,24,6,1250,3,234,8,6
201906,23,935380,470140,60,24,6,1250,3,234,8,6
201906,8,935380,470140,85,24,6,1250,3,234,8,6
201906,5,935380,470140,85,24,6,1250,3,234,8,6
201906,14,935380,470140,85,24,6,1250,3,234,8,6
201906,26,935380,470140,85,24,6,1250,3,234,8,6
201906,8,935380,470140,85,24,6,1250,3,234,8,6
201906,18,935380,470140,85,24,6,1250,3,234,8,6
201906,14,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,85,24,6,1250,3,234,8,6
201906,6,935380,470140,60,24,6,1250,3,234,8,6
201906,23,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,60,24,6,1250,3,234,8,6
201906,25,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,85,24,6,1250,3,234,8,6
201906,19,935380,470140,85,24,6,1250,3,234,8,6
201906,16,935380,470140,85,24,6,1250,3,234,8,6
201907,15,935380,470140,85,24,6,1250,3,234,8,6
201907,5,935380,470140,60,24,6,1250,3,234,8,6
201907,7,935380,470140,85,24,6,1250,3,234,8,6
201907,17,935380,470140,85,24,6,1250,3,234,8,6
201907,7,935380,470140,60,24,6,1250,3,234,8,6
201907,1,935380,470140,85,24,6,1250,3,234,8,6
201907,2,935380,470140,85,24,6,1250,3,234,8,6
201907,21,935380,470140,85,24,6,1250,3,234,8,6
201907,3,935380,470140,85,24,6,1250,3,234,8,6
201907,16,935380,470140,85,24,6,1250,3,234,8,6
201907,25,935380,470140,85,24,6,1250,3,234,8,6
201907,17,935380,470140,85,24,6,1250,3,234,8,6
201908,29,935380,470140,60,24,6,1250,3,234,8,6
201908,1,935380,470140,85,24,6,1250,3,234,8,6
201908,19,935380,470140,85,24,6,1250,3,234,8,6
201909,8,935380,470140,85,24,6,1250,3,234,8,6
201909,7,935380,470140,60,24,6,1250,3,234,8,6
201909,9,935380,470140,85,24,6,1250,3,234,8,6
201910,17,935380,470140,60,24,6,1250,3,234,8,6
201910,19,935380,470140,60,24,6,1250,3,234,8,6
201910,18,935380,470140,85,24,6,1250,3,234,8,6
201910,11,935380,470140,60,24,6,1250,3,234,8,6
201910,23,935380,470140,120,24,6,1250,3,234,8,6
201910,14,935380,470140,85,24,6,1250,3,234,8,6
201910,16,935380,470140,85,24,6,1250,3,234,8,6
201910,6,935380,470140,85,24,6,1250,3,234,8,6
201910,16,935380,470140,60,24,6,1250,3,234,8,6